state,statename,totals,region,pre-1943,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,SUM,Above55
CA,California,20108,west,16553,459,387,436,480,401,326,381,275,150,39,23,27,25,23,13,13,12,18,24,26,17,3555,1
VA,Virginia,7162,northeast,4472,203,105,178,152,122,134,215,204,207,153,169,171,111,87,128,114,69,61,39,29,39,2690,1
NC,North Carolina,6297,northeast,1346,152,107,117,105,139,186,249,295,375,326,270,300,289,216,305,318,260,234,248,220,240,4951,1
MI,Michigan,3786,midwest,2388,78,107,86,75,117,131,88,72,65,81,103,71,61,27,47,39,27,18,46,26,33,1398,1
GA,Georgia,3284,southeast,190,97,73,90,68,24,94,167,226,200,279,246,207,261,268,268,142,112,148,60,57,7,3094,1
KS,Kansas,3032,midwest,2706,88,57,32,71,29,18,0,24,0,0,0,0,0,0,0,0,0,0,7,0,0,326,1
IN,Indiana,2424,west,1231,55,74,122,192,89,77,49,71,60,37,55,85,94,34,29,17,7,14,9,11,12,1193,1
MN,Minnesota,2350,midwest,2111,46,34,13,2,1,4,8,12,15,16,13,10,9,19,12,8,6,5,5,1,0,239,1
OR,Oregon,2341,west,1597,57,24,21,49,30,43,32,60,42,72,59,25,38,28,23,14,40,19,24,21,23,744,1
IA,Iowa,1910,midwest,493,58,46,52,45,70,127,165,113,178,70,85,72,47,69,48,21,14,28,51,28,30,1417,1
WI,Wisconsin,1796,midwest,1372,48,47,58,24,35,46,28,42,22,12,16,14,0,1,7,0,0,8,2,6,8,424,1
ND,North Dakota,1049,northeast,628,43,13,21,29,17,33,23,23,42,22,37,0,16,14,14,9,22,12,16,15,0,421,1
DE,Deleware,945,northeast,641,17,27,20,29,15,34,19,13,7,33,4,0,0,12,8,1,0,9,9,22,25,304,1
NE,Nebraska,902,southeast,530,79,23,16,13,7,20,16,19,19,37,27,23,15,8,5,4,10,6,10,5,10,372,1
SD,South Dakota,789,midwest,643,3,7,10,24,46,12,3,5,4,4,8,6,2,2,4,3,1,1,0,0,1,146,1
UT,Utah,764,west,310,69,16,22,56,58,16,14,34,30,46,16,13,9,15,12,5,7,16,0,0,0,454,1
MS,Mississippi,683,southeast,542,4,8,9,19,11,3,0,0,0,0,0,0,0,6,13,22,15,13,3,8,7,141,1
NH,New Hampshire,679,midwest,468,24,19,20,9,6,11,14,17,23,18,21,8,4,8,8,0,1,0,0,0,0,211,1
CT,Connecticut,557,northeast,457,31,2,1,0,6,8,10,2,3,5,5,2,3,7,2,2,1,2,0,5,3,100,1
ME,Maine,326,northeast,217,1,0,2,9,3,3,3,6,4,5,8,17,26,1,5,4,4,2,3,2,1,109,1
SC,South Carolina,277,southeast,57,17,3,0,0,0,4,7,12,10,3,7,8,30,43,34,11,6,7,3,6,9,220,1
Other,Other,NA,NA,,245,105,100,159,152,111,86,108,100,151,96,77,89,102,91,52,45,56,28,48,56,2057,1
